id,nombre_dependencia,descripcion
72,10,"Unidad 10 - Cárcel de Formosa"
73,11,"Unidad 11 - Colonia Penal de Presidencia Roque Sáenz Peña"
74,12,"Unidad 12 - Colonia Penal de Viedma"
75,13,"Unidad 13 - Instituto Correccional de Mujeres"
76,14,"Unidad 14 - Cárcel de Esquel"
77,15,"Unidad 15 - Cárcel de Río Gallegos"
78,16,"Unidad 16 - Instituto Penitenciario Federal de Salta"
79,17,"Unidad 17 - Colonia Penal de Candelaria"
80,19,"Unidad 19 - Colonia Penal de Ezeiza"
81,2,"Complejo Penitenciario Federal de la Ciudad Autónoma de Buenos Aires - DEVOTO"
82,21,"Unidad 21 - Centro Penitenciario de Enfermedades Infecciosas"
83,22,"Unidad 22 - Cárcel Federal de Jujuy "Virgen de Punta Corral""
84,25,"Unidad 25 - Instituto Correccional Abierto de General Pico"
85,30,"Unidad 30 - Instituto de Jóvenes Adultos"
86,32,"Unidad 32 - Centro de Detención Judicial de Mendoza"
87,34,"Unidad 34 - Instituto Penal Federal de Campo de Mayo"
88,35,"Unidad 35 - Instituto Penal Federal de Colonia Pinto"
89,36,"Cárcel Federal de Coronda "Dr. Eusebio Gómez" Unidad 36."
90,4,"Unidad 4 - Colonia Penal de Santa Rosa"
91,5,"Unidad 5 - Colonia Penal de General Roca"
92,6,"Unidad 6 - Instituto de Seguridad y Resocialización"
93,7,"Unidad 7 - Prisión Regional del Norte"
94,8,"Unidad 8 - Instituto Penitenciario Federal"
95,AI,"Departamento de Asuntos Internos"
96,AP,"Direccion de Analisis de Informacion Penitenciaria"
97,AS,"Centro de Detencion Judicial (U.28)"
98,BC,"Alcaidía de los Tribunales Federales de la Ciudad de Córdoba"
99,C1,"Complejo Penitenciario Federal I - Ezeiza"
100,C2,"Complejo Penitenciario Federal II - Marcos Paz"
101,C3,"CPF 3 - CFNOA - Complejo Penitenciario Federal de Noroeste Argentino"
102,C4,"Complejo Penitenciario Federal IV de Mujeres - Ezeiza"
103,C5,"Complejo Penitenciario Federal V"
104,C6,"Complejo Penitenciario Federal VI de Cuyo"
105,C7,"Complejo Penitenciario Federal VII de Mujeres - Ezeiza"
106,CF,"Complejo Penitenciario Jovenes Adultos - Marcos Paz"
107,DN,"Direccion Nacional del Servicio Penitenciario Federal"
108,DT,"Direccion de Trabajo y Produccion"
109,EC,"Ente de Cooperacion Tecnica y Financiera"
110,EP,"Escuela Penitenciaria de la Nacion"
111,ES,"Escuela de Suboficiales Subdirector Nacional "Juan Carlos García Basalo""
112,OP,"Direccion de Seguridad Penitenciaria"
113,OS,"Direccion de Obra Social"
114,RP,"Direccion de Retiros y Pensiones"
115,SC,"Unidad 29 - Alcaidía Penal Federal (Comodoro Py)"
116,SU,"Division Suministros Direccion General de Administracion"
